i,RA,Dec,pm_RA,pm_Dec,prlx,V_rad,t,u,v,w
4544348356343146651628368907085195997,128.28970107499558,39.43685650892439,263.70787184817345,-234.54618113122288,100,15.140425849014497,6.866276912915534,24.13466503783424,5.39996123161281,-11.086388289864882
94625337029132237446558283119941985612,107.83452341420067,-22.241757777636337,-421.71461011366665,-289.99441719885846,100,52.63640834467667,6.210571962878281,-18.338865058653443,26.958955387525595,18.73912908450833
46521115248093830608039609263517426752,96.34695451527719,49.53040148301656,-8.133748246269258,-56.33158064728529,100,40.13935783623221,10.194242879461227,4.57847899651483,-16.89845636383335,11.332717941641432
28774627962006837052272828644116766942,286.8088249997511,-56.4196942918185,-137.87575323702367,-33.27062277124325,100,57.84048628514796,1.94403230027685,4.418163997658355,-12.744259993835069,-0.959151490183099
308774878207235171057304890566435460339,114.47851112180932,45.33099395394626,-169.52331010062272,352.3998913480162,100,-22.38199948834705,9.329808907316952,-11.788865322971446,-24.362697522594782,3.7136358376956466
22063798911861303255056864557495466788,345.27521213550943,4.547329507293256,-263.8623976351392,-194.48897393699954,100,31.518515095942607,8.580554200584315,12.375981520272504,21.655147717312214,-14.80325860281308
67048739150918895151470528967452975727,281.4683852617888,24.58114230001405,-221.95725618389653,65.36594205478441,100,-17.864886777636748,7.367511356593457,12.006656727622541,3.795950057826442,13.783942668604192
239570263246259815193187020513212289811,110.2721352047706,25.976167377585796,-95.87113579789711,-66.80745093366501,100,-18.109017903654653,2.163317211901179,10.254088847451658,-4.1130253969625405,3.4781676006607807
14072392613870706580416657639271724973,284.1160458756818,58.035809896881574,-77.13634965955659,311.86108640014066,100,-22.497765272732558,10.527534734398799,-6.71036370091756,-23.52880160264259,-44.11153861542406
73025108280818123602197086743406368613,211.01293270183803,-57.522497422926406,283.0172377417462,-211.49770982913324,100,13.460470751478956,9.548725587040781,-33.92161657590817,-3.7319501768222487,2.125081094654299
212977198210563257658318562054017184979,89.54882609484716,-64.9590837651146,-1069.3349627730913,-480.72338955972054,100,64.00963088160235,10.707279198911822,-57.95683237296575,-19.00326123874741,43.01577498568764
76937352731198663507741195540296802973,67.4669659205293,70.61849565899217,-1218.4162470367448,-4424.069096373405,100,-10.69206332778988,11.396198107417035,55.25908747173796,-278.31762856016144,-49.20536625470952
9907732146914744773848077721837752409,295.8515578626879,-32.15170556651992,92.71875243747851,266.47041752232934,100,-57.2012096028363,10.90130088612192,11.056691457901408,1.5063270950238952,44.901904944705414
92785337298479189934049679517098017874,224.3915710095509,-27.04012124201146,194.6614608340469,3041.183098588727,100,32.57751205202863,11.710311460106533,-38.24732097340063,-224.3066493714892,34.35186104680395
337229640061520148424459931188274217932,304.97267169847083,-59.635695531618936,-215.91679510642692,100.8546045904524,100,9.458900514053864,9.992153420179193,9.709100152662206,-18.820393222281922,-9.47075619143663
28403717358833853631306589925633594566,97.1013027158065,-18.206739388412643,117.85076229575391,-260.0285473414384,100,-30.043662097404543,9.268468419058486,25.313620013482485,-1.5974265131636192,-14.916231893881722
